matches,deletes,inserts,moves,updates
1693,298,671,122,36
1351,755,712,133,57
78,48,151,30,19
1427,3,71,0,0
610,20,248,9,11
1862,196,593,71,61
2179,88,229,11,32
510,0,14,0,0
4273,548,1997,109,17
3004,342,424,64,64
4902,561,1385,172,53
3626,3,17,2,7
1224,677,1861,132,28
492,527,127,39,40
358,9,9,5,9
395,10,147,8,2
3272,168,1594,130,40
1494,79,570,46,24
591,1024,55,48,24
737,14,146,10,14
3368,72,764,68,42
1786,20,42,1,4
3915,222,1358,95,48
621,9,26,9,8
3926,211,1298,97,50
1894,215,452,32,13
2306,27,22,4,5
505,0,47,0,2
491,14,127,17,9
499,6,103,10,8
5474,3,33,1,0
5474,3,43,1,0
4203,157,1312,126,33
1445,47,339,38,30
944,40,369,80,11
3009,337,389,63,25
3409,31,482,22,23
248,3,73,7,11
443,576,24,22,15
1343,763,699,135,58
2104,2,20,2,32
95,0,52,0,7
1488,82,21,0,8
1162,408,841,99,51
1763,228,327,98,22
95,0,32,0,7
1943,48,25,27,10
2016,90,56,23,32
1675,88,276,14,2
1849,58,167,28,7
1830,77,237,31,9
1872,89,168,53,16
2020,86,20,20,32
2004,12,20,1,0
588,130,719,100,49
278,71,1339,26,25
278,71,1265,26,25
82,1,1,0,0
840,13,124,6,17
1219,4,7,0,0
229,18,26,2,3
2057,17,50,2,3
779,0,53,1,2
2155,1595,1777,247,30
2998,1782,933,128,19
3409,31,407,21,15
391,0,37,1,0
2131,1619,2303,269,26
2140,1610,2308,266,28
2024,87,220,13,8
1980,129,264,12,12
1623,3,148,0,0
220,8,56,4,0
222,13,72,2,8
362,5,4,4,11
248,0,0,0,5
255,94,1240,36,9
1875,86,109,46,16
510,0,0,0,5
1585,455,322,59,16
3409,269,1008,51,32
1263,307,407,57,36
345,0,2,0,2
2500,14,31,3,7
3578,100,183,12,4
3558,120,426,25,12
982,0,27,0,27
499,6,75,9,8
3619,138,273,38,32
504,21,10,0,0
1208,15,50,9,0
518,7,88,9,32
492,0,33,0,0
1521,52,342,9,20
1509,64,391,12,22
1839,3,24,0,22
1730,71,179,14,29
1735,66,165,11,22
164,4,18,3,0
173,9,31,3,5
3640,86,497,27,32
126,0,0,0,2
2249,1501,1275,192,32
1323,4,6,0,0
1509,64,403,12,22
3943,12,17,3,0
2269,1481,1257,192,28
3524,86,138,11,5
2318,1432,1214,177,29
838,2,8,0,0
219,0,2,0,0
1570,3,231,0,0
3009,337,413,64,57
